,scene_id,text,character,cAGR,cCON,cEXT,cOPN,cNEU
10,01_e02_c03,"<b>s01_e02_c03(2) for Chandler Bing</b><br><br><b>Rachel Green</b>: (looks at the lasagne and realizes something) Ohhhhh, don't be mad...<br><br><b>Monica Geller</b>: You didn't.<br><br><b>Rachel Green</b>: Oh, I am sorry...<br><br><b>Monica Geller</b>: I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.)<br><br><b>Rachel Green</b>: Oh, but look how straight those noodles are!<br><br><b>Chandler Bing</b>: Now, Monica, you know that's not how you look for an engagement ring in a lasagne...<br><br><b>Monica Geller</b>: (puts down the lasagne) I just... can't do it.<br><br><b>Chandler Bing</b>: Boys? We're going in.<br><br>(Chandler, Joey, and Phoebe start to pick through the lasagne as there's a knock on the door which Monica answers.)<br><br>",Chandler Bing,1,0,0,1,1
11,01_e02_c04,"<b>s01_e02_c04(0) for Ross Geller</b><br><br><b>Mrs. Geller</b>: Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack) Mmm! What's that curry taste?<br><br><b>Monica Geller</b>: Curry.<br><br><b>Mrs. Geller</b>: Mmmm!<br><br><b>Ross Geller</b>: I- I think they're great! I, I really do.<br><br><b>Ross Geller</b>: (To Ross) Do you remember the Ludwins? The big one had a thing for you, didn't she?<br><br><b>Mrs. Geller</b>: They all had a thing for him.<br><br><b>Ross Geller</b>: Aw, Mom...<br><br>",Ross Geller,0,0,1,1,0
12,01_e02_c07,"<b>s01_e02_c07(0) for Barry</b><br><br><b>Rachel Green</b>: Barry?<br><br><b>Barry</b>: C'mon in.<br><br><b>Rachel Green</b>: (hesitates) Are you sure?<br><br><b>Barry</b>: Yeah! It's fine, it's fine. Robbie's gonna be here for hours.<br><br><b>Robbie</b>: Huh?!<br><br><b>Barry</b>: So, how ya doin?<br><br><b>Rachel Green</b>: I'm- uh- I'm okay... You look great!<br><br>",Barry,0,0,0,0,1
13,01_e02_c08,"<b>s01_e02_c08(0) for Ross Geller</b><br><br><b>Ross Geller</b>: So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?<br><br><b>Carol Willick</b>: Give me a 'for instance'.<br><br><b>Ross Geller</b>: Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?<br><br><b>Carol Willick</b>: Marlon-<br><br><b>Ross Geller</b>: Marlon?!<br><br><b>Carol Willick</b>: -if it's a boy, Minnie if it's a girl.<br><br><b>Ross Geller</b>: ...As in Mouse?<br><br>",Ross Geller,0,1,1,1,0
14,01_e02_c11,"<b>s01_e02_c11(0) for Ross Geller</b><br><br><b>Ross Geller</b>: Well? Isn't that amazing?<br><br><b>Joey Tribbiani</b>: What are we supposed to be seeing here?<br><br><b>Chandler Bing</b>: I dunno, but.. I think it's about to attack the Enterprise.<br><br><b>Phoebe Buffay</b>: You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.<br><br><b>Ross Geller</b>: Then don't do that, alright?<br><br><b>Phoebe Buffay</b>: Okay!<br><br><b>Ross Geller</b>: (walks over to where Monica is standing)Monica. Whaddya think?<br><br><b>Monica Geller</b>: (welling up) Mm-hmm.<br><br><b>Ross Geller</b>: Wh- are you welling up?<br><br><b>Monica Geller</b>: No.<br><br>",Ross Geller,1,0,0,1,0
15,01_e03_c03,"<b>s01_e03_c03(1) for Rachel Green</b><br><br><b>Phoebe Buffay</b>: - and there's five hundred extra dollars in my account.<br><br><b>Chandler Bing</b>: Oh, Satan's minions at work again...<br><br><b>Phoebe Buffay</b>: Yes, 'cause now I have to go down there, and deal with them.<br><br><b>Joey Tribbiani</b>: What are you talking about? Keep it!<br><br><b>Phoebe Buffay</b>: It's not mine, I didn't earn it, if I kept it, it would be like stealing.<br><br><b>Rachel Green</b>: Yeah, but if you spent it, it would be like shopping!<br><br><b>Phoebe Buffay</b>: Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...<br><br><b>Monica Geller</b>: We're with you. We got it.<br><br>(Chandler leans over the back of the couch out of sight.)<br><br><b>Phoebe Buffay</b>: Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.<br><br><b>Rachel Green</b>: Chandler, what are you doing?<br><br>",Rachel Green,0,1,0,1,0
16,01_e03_c07,"<b>s01_e03_c07(0) for Phoebe Buffay</b><br><br><b>Phoebe Buffay</b>: Hey, Lizzie.<br><br><b>Lizzie</b>: Hey, Weird Girl.<br><br><b>Phoebe Buffay</b>: I brought you alphabet soup.<br><br><b>Lizzie</b>: Did you pick out the vowels?<br><br><b>Phoebe Buffay</b>: Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you. (She searches in her purse.)<br><br><b>Lizzie</b>: Saltines?<br><br><b>Phoebe Buffay</b>: No, but would you like a thousand dollars and a football phone?<br><br><b>Lizzie</b>: What? (She opens the envelope Phoebe has given her.) Oh my God, there's really money in here.<br><br><b>Phoebe Buffay</b>: I know.<br><br><b>Lizzie</b>: Weird Girl, what are you doing?<br><br><b>Phoebe Buffay</b>: No, I want you to have it. I don't want it.<br><br><b>Lizzie</b>: No, no, I ha-I have to give you something.<br><br><b>Phoebe Buffay</b>: Oh, that's fine, no.<br><br><b>Lizzie</b>: Would you like my tin-foil hat?<br><br>",Phoebe Buffay,0,0,1,1,1
17,01_e03_c09,"<b>s01_e03_c09(0) for Phoebe Buffay</b><br><br><b>Ross Geller</b>: A thumb?!<br><br>(Phoebe nods.)<br><br><b>All</b>: Eww!<br><br><b>Phoebe Buffay</b>: I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!<br><br><b>Chandler Bing</b>: Well, maybe it's a contest, y'know? Like, collect all five?<br><br><b>Phoebe Buffay</b>: Does, um, anyone wanna see?<br><br>",Phoebe Buffay,1,1,1,0,0
18,01_e03_c12,"<b>s01_e03_c12(1) for Phoebe Buffay</b><br><br><b>Rachel Green</b>: Uh, Joey..<br><br><b>Joey Tribbiani</b>: Oh, God! (Hurriedly closes his legs.)<br><br><b>Monica Geller</b>: (turns off the TV) Okay..<br><br><b>All</b>: Oh! That was Lambchop!<br><br><b>Monica Geller</b>: Please, guys, we have to talk.<br><br><b>Phoebe Buffay</b>: Wait, wait, I'm getting a deja vu...no, I'm not.<br><br><b>Monica Geller</b>: Alright, we have to talk.<br><br><b>Phoebe Buffay</b>: There it is!<br><br>",Phoebe Buffay,1,1,0,1,1
19,01_e04_c01,"<b>s01_e04_c01(0) for Monica Geller</b><br><br><b>Phoebe Buffay</b>: Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!<br><br><b>Ross Geller</b>: Yeah, see.. you took mine. Chandler, what about you?<br><br><b>Chandler Bing</b>: Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.<br><br><b>Rachel Green</b>: See, there's always one guy. (Mocking) ""If I had a wish, I'd wish for three more wishes."" (Joey enters.)<br><br><b>All</b>: Hey Joey. Hi. Hey, buddy.<br><br><b>Monica Geller</b>: Hey, Joey, what would you do if you were omnipotent?<br><br>",Monica Geller,0,1,0,1,1
20,01_e04_c02,"<b>s01_e04_c02(0) for Joey Tribbiani</b><br><br><b>Phoebe Buffay</b>: I got no sleep last night!<br><br><b>Ross Geller</b>: Why?<br><br><b>Phoebe Buffay</b>: My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!<br><br><b>Monica Geller</b>: Well, if you want, you can stay with Rachel and me tonight.<br><br><b>Phoebe Buffay</b>: Thanks.<br><br>(Chandler and Joey enter. Joey is counting his steps.)<br><br><b>Joey Tribbiani</b>: ...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.<br><br><b>Chandler Bing</b>: You got waaaay too much free time.<br><br><b>Joey Tribbiani</b>: (to Ross) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.<br><br><b>Chandler Bing</b>: Happy birthday, pal!<br><br><b>Joey Tribbiani</b>: We love you, man. (Kisses Ross)<br><br><b>Ross Geller</b>: Funny, my birthday was seven months ago.<br><br><b>Joey Tribbiani</b>: So?<br><br>",Joey Tribbiani,0,1,0,0,0
21,01_e04_c02,"<b>s01_e04_c02(0) for Rachel Green</b><br><br><b>Ross Geller</b>: What are you doing?<br><br><b>Chandler Bing</b>: (stops) I have no idea.<br><br><b>Joey Tribbiani</b>: C'mon, Ross!<br><br><b>Ross Geller</b>: Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?<br><br><b>Chandler Bing</b>: You got it.<br><br>(Rachel runs up cluching an envelope.)<br><br><b>Rachel Green</b>: Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!<br><br><b>Phoebe Buffay</b>: I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.<br><br><b>Monica Geller</b>: Wow, you worked in a mine?<br><br><b>Phoebe Buffay</b>: I worked in a Dairy Queen, why?<br><br><b>Rachel Green</b>: God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally(opens envelope)not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.<br><br>",Rachel Green,0,0,0,0,1
22,01_e04_c02,"<b>s01_e04_c02(1) for Phoebe Buffay</b><br><br><b>Chandler Bing</b>: (stops) I have no idea.<br><br><b>Joey Tribbiani</b>: C'mon, Ross!<br><br><b>Ross Geller</b>: Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?<br><br><b>Chandler Bing</b>: You got it.<br><br>(Rachel runs up cluching an envelope.)<br><br><b>Rachel Green</b>: Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!<br><br><b>Phoebe Buffay</b>: I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.<br><br><b>Monica Geller</b>: Wow, you worked in a mine?<br><br><b>Phoebe Buffay</b>: I worked in a Dairy Queen, why?<br><br>",Phoebe Buffay,1,0,0,0,1
23,01_e04_c02,"<b>s01_e04_c02(0) for Monica Geller</b><br><br><b>Monica Geller</b>: How does she do that?<br><br><b>Ross Geller</b>: I cannot sleep in a public place.<br><br><b>Monica Geller</b>: Would you look at her? She is so peaceful.<br><br><b>Phoebe Buffay</b>: (waking and startling them) Oh! What what what! ...Hi.<br><br><b>Ross Geller</b>: It's okay, y'know, you just nodded off again.<br><br><b>Monica Geller</b>: What's going on with you?<br><br><b>Phoebe Buffay</b>: I got no sleep last night!<br><br><b>Ross Geller</b>: Why?<br><br><b>Phoebe Buffay</b>: My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!<br><br><b>Monica Geller</b>: Well, if you want, you can stay with Rachel and me tonight.<br><br>",Monica Geller,1,0,1,1,1
24,01_e04_c10,"<b>s01_e04_c10(0) for Phoebe Buffay</b><br><br><b>Rachel Green</b>: I'm so sorry, you guys. I didn't mean to bring you down.<br><br><b>Monica Geller</b>: No, you were right. I don't have a plan. (There's a knock on the door.)<br><br><b>Pizza Guy</b>: (yelling from outside) Pizza guy!<br><br><b>Rachel Green</b>: Thank God. Food. (She goes to answer the door.)<br><br><b>Monica Geller</b>: Phoebe?<br><br><b>Phoebe Buffay</b>: What?<br><br><b>Monica Geller</b>: Do you have a plan?<br><br><b>Phoebe Buffay</b>: I don't even have a 'pl'.<br><br>",Phoebe Buffay,1,1,1,1,1
25,01_e04_c12,"<b>s01_e04_c12(0) for Rachel Green</b><br><br><b>Monica Geller</b>: Light still out?<br><br><b>Rachel Green</b>: Yeah.<br><br><b>Monica Geller</b>: Oh. Maybe they're- napping.<br><br><b>Rachel Green</b>: Oh please, they're having sex.<br><br>",Rachel Green,1,1,0,0,0
26,01_e04_c14,"<b>s01_e04_c14(1) for Phoebe Buffay</b><br><br><b>Rachel Green</b>: Okay, okay, okay, I got one! (She sits up and the cushion she was leaning against falls off of the balcony.) Anyway- The valentine Tommy Rollerson left in your locker was really from me.<br><br><b>Monica Geller</b>: Excuse me?!<br><br><b>Rachel Green</b>: Hello? Like he was really gonna send you one? (To Phoebe) She was a big girl.<br><br><b>Monica Geller</b>: Really. Well, at least 'big girls' don't pee in their pants in seventh grade!<br><br><b>Rachel Green</b>: I was laughing! You made me laugh! (Monica and Rachel start to squabble)<br><br><b>Phoebe Buffay</b>: There he is! There he is!<br><br>",Phoebe Buffay,1,1,0,1,1
27,01_e04_c15,"<b>s01_e04_c15(0) for Kid</b><br><br><b>Receptionist</b>: (sarcastic) Oh, that's attractive.<br><br><b>Chandler Bing</b>: Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.<br><br><b>Ross Geller</b>: Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?<br><br><b>Joey Tribbiani</b>: Oh, ah- the kid has it.<br><br><b>Ross Geller</b>: The kid...? (To the kid) Excuse me, uh, that's, that's my puck.<br><br><b>Kid</b>: I found it. Finders keepers, losers weepers. (Ross looks at Chandler for help.)<br><br><b>Chandler Bing</b>: You gotta do it, man.<br><br><b>Ross Geller</b>: (to the kid) Oh yeah? Well, I'm rubber, you're glue, whatever(to Chandler)can't do it. (to the kid) Listen, uh- gimme back my puck.<br><br><b>Kid</b>: No.<br><br>",Kid,1,1,1,1,1
28,01_e04_c15,"<b>s01_e04_c15(0) for Chandler Bing</b><br><br><b>Joey Tribbiani</b>: Man. Can you believe he's only had sex with one woman?<br><br><b>Chandler Bing</b>: I think it's great. Y'know, it's sweet, it's romantic...<br><br><b>Joey Tribbiani</b>: Really?<br><br><b>Chandler Bing</b>: No, you kidding? The guy's a freak.. (Ross enters off camera)<br><br><b>Both</b>: Hey, buddy.<br><br><b>Ross Geller</b>: Hi. (He is wearing a piece of steel bandaged to his nose. He tosses some forms onto reception desk.)<br><br><b>Receptionist</b>: (sarcastic) Oh, that's attractive.<br><br><b>Chandler Bing</b>: Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.<br><br><b>Ross Geller</b>: Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?<br><br><b>Joey Tribbiani</b>: Oh, ah- the kid has it.<br><br><b>Ross Geller</b>: The kid...? (To the kid) Excuse me, uh, that's, that's my puck.<br><br><b>Kid</b>: I found it. Finders keepers, losers weepers. (Ross looks at Chandler for help.)<br><br><b>Chandler Bing</b>: You gotta do it, man.<br><br>",Chandler Bing,1,1,1,1,1
29,01_e04_c16,"<b>s01_e04_c16(0) for Rachel Green</b><br><br><b>Ross Geller</b>: (Doing the spinning) Okay, Monica: Right foot red.<br><br><b>Monica Geller</b>: Could've played Monopoly, but nooooo.<br><br>(There's a knock on the door, Chandler opens it, and silently hands back the cushion.)<br><br><b>Chandler Bing</b>: Thanks. (The guy nods and leaves)<br><br><b>Ross Geller</b>: Okay, Pheebs: Right hand blue. (Phoebe has to bend over.)Good. (Joey stares at her butt appreciatively)<br><br>(The phone rings and Chandler answers it.)<br><br><b>Chandler Bing</b>: Hello? Oh, uh, Rachel, it's the Visa card people.<br><br><b>Rachel Green</b>: Oh, okay. Will you take my place?<br><br><b>Chandler Bing</b>: Alright. (on phone) Yes, this is Rachel.<br><br>",Rachel Green,1,0,1,1,0
30,01_e05_c02,"<b>s01_e05_c02(0) for Angela Delvecchio</b><br><br><b>Rachel Green</b>: Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He called me young lady.<br><br><b>Chandler Bing</b>: Ooh, I hate when my father calls me that.<br><br><b>Monica Geller</b>: Did he give you that whole ""You're-not-up-to-this"" thing again?<br><br><b>Rachel Green</b>: Oh, yeah, yeah. Actually, I got the extended disco version, with three choruses of ""You'll never make it on your own"".<br><br><b>Phoebe Buffay</b>: (rhythmically) Uh-huh, uh-huh.<br><br>(Angela, a beautiful woman in a tight dress, enters.)<br><br><b>Angela Delvecchio</b>: Hi, Joey.<br><br><b>Joey Tribbiani</b>: My god, Angela.<br><br>(Angela takes a seat at the counter.)<br><br><b>Monica Geller</b>: Wow, being dumped by you obviously agrees with her.<br><br><b>Phoebe Buffay</b>: Are you gonna go over there?<br><br><b>Joey Tribbiani</b>: No, yeah, no, ok, but not yet. I don't wanna seem too eager. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool. (he walks over to her) Hey, Angela.<br><br><b>Angela Delvecchio</b>: (casually) Joey.<br><br><b>Joey Tribbiani</b>: You look good.<br><br><b>Angela Delvecchio</b>: That's because I'm wearing a dress that accents my boobs.<br><br>",Angela Delvecchio,0,0,1,0,0
31,01_e05_c03,"<b>s01_e05_c03(0) for Monica Geller</b><br><br><b>Joey Tribbiani</b>: Monica, I'm tellin' you, this guy is perfect for you.<br><br><b>Monica Geller</b>: Forget it. Not after your cousin who could belch the alphabet.<br><br><b>Joey Tribbiani</b>: Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...<br><br><b>Monica Geller</b>: (looking out window) Oh, god help us.<br><br>",Monica Geller,1,0,0,1,1
32,01_e05_c06,"<b>s01_e05_c06(0) for Janice</b><br><br><b>Chandler Bing</b>: It's great. Maybe tomorrow we can rent a car and run over some puppies.<br><br><b>Phoebe Buffay</b>: Eww, I don't wanna do that.<br><br>(Janice and Phoebe's boyfriend, Tony, walk in.)<br><br><b>Chandler Bing</b>: Here we go.<br><br><b>Phoebe Buffay</b>: Ok, have a good break-up.<br><br><b>Chandler Bing</b>: Hey, Janice.<br><br><b>Janice</b>: Oh, my god, I am so glad you called me. I had the most supremely awful day.<br><br><b>Chandler Bing</b>: Hey, that's not good. Can I get an espresso and a latte over here, please?<br><br><b>Janice</b>: We got the proofs back from that photo shoot, you know, the one with the little vegetables. Anyway, they pretty much sucked, so, I blew off the rest of the day, and I went shopping...(looks through her bags)... and I got you, I'm looking, I'm looking, I'm looking, I got you...<br><br>(Chandler sees Phoebe breaking up with Tony. She talks to him for a few seconds, hugs him, and then he leaves. Chandler is amazed how easy it was for her.)<br><br><b>Chandler Bing</b>: What?<br><br><b>Janice</b>: What?<br><br><b>Chandler Bing</b>: (covering) What... did you get me there?<br><br><b>Janice</b>: I got you...these. (pulls out a pair of socks)<br><br><b>Chandler Bing</b>: Bullwinkle socks. That's so sweet.<br><br><b>Janice</b>: Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel. Whatever you want.<br><br><b>Chandler Bing</b>: That's great.<br><br>(The drinks arrive, and Chandler downs his espresso in one gulp.)<br><br><b>Chandler Bing</b>: Well, I'm gonna get another espresso. Can I get you another latte?<br><br>",Janice,0,0,1,1,0
